id,name,oneLiner,summary,verticals,lastFundingRound,businessModel,size,hqLocation,logo,url,roles
1,FinMid,B2B lending infrastructure for software platforms,"Finmid is providing B2B lending infrastructure for software platforms. Our customers use finmid to offer factoring, working capital or corporate credit cards to grow their revenue and accelerate new business opportunities.",finance,seed,b2b,35,berlin,https://media.licdn.com/dms/image/C4D0BAQHQIMfXlqgE-A/company-logo_200_200/0/1639641338115?e=1695859200&v=beta&t=PevBRrdd93sav-10f4EvtSukP2el0FsKBOfXNSWyByo,https://finmid.com/,1
2,Junto,Rethinking the future of global business education,Junto brings a radically new form of learning to companies and their talents by delivering cutting-edge business knowledge in highly interactive live courses. The training is led by real world experts supported by a life-long learning community and a scalable tech platform.,education,seed,b2b,28,berlin,https://media.licdn.com/dms/image/C4E0BAQHnbzOu2yz_oQ/company-logo_200_200/0/1655805583951?e=1695859200&v=beta&t=MZEKtOt0SzSTLV2fCCsBt1D8RJvyS2vvReeOlqeuR2Y,https://junto.eu/,2
3,Hivebuy,"Business spend, but easy, intuitive and transparent",Hivebuy is your company-wide procure-to-pay solution. Transparency and structure facilitate order-related invoice verification and management. Intuitive approval workflows save time and facilitate communication. Integrated catalogs allow everyone in your organization to order with one click. Management has a real-time overview of all procurement processes.,procurement,seed,b2b,13,berlin,https://media.licdn.com/dms/image/C4D0BAQFwqNyDGGp7kQ/company-logo_200_200/0/1642100388358?e=1695859200&v=beta&t=peYfejnwag6ZqBFJED4bMjer0uZ0lEnYiRPUnoDQs-k,https://hivebuy.com/en/,3
4,Nelly,Better payments and less paper waste for medical practices and patients,"Nelly revolutionizes medical practice workflows with cutting-edge healthcare payment solutions and efficient patient check-in/check-out software, led by a dynamic team of tech-savvy industry experts.",finance,seriesA,b2b,42,berlin,https://media.licdn.com/dms/image/C4E0BAQEMphoiGgWaag/company-logo_200_200/0/1654157927806?e=1695859200&v=beta&t=0gigSfzSSjPXc38cZxQKtGfb6pOKiOT6k6rh114EMMw,https://www.getnelly.de/,4
5,Physikit,At-home testing as a service for healthcare providers,"Physikit is a dynamic and fast-growing B2B at-home testing startup, revolutionizing the healthcare industry by providing innovative solutions for sample collection, logistics, and secure result reporting.",healthcare,preSeed,b2b,11,berlin,https://media.licdn.com/dms/image/D4D0BAQHnArrpcMaBbA/company-logo_200_200/0/1680691308744?e=1695859200&v=beta&t=lE9D3wSlbssfBPVhga7m5W_jl8AuNstfXwPxHzuhmGY,https://www.physikit.com/,5
6,voize,Digital voice assistant to automate senior care documentation,At voize we develop an app that allows professionals like healthcare workers and inspection engineers to fill out forms via domain-specific speech recognition. Healthcare workers speak freely and our AI automatically generates the correct structured forms.,deepTech,preSeed,b2b,16,berlin,https://media.licdn.com/dms/image/C4D0BAQGKGfUC5cZ_Rw/company-logo_200_200/0/1617724353292?e=1695859200&v=beta&t=PUwGwRi44fcwRONUO6CVKnQ540I3B4APTsa7dL0hXFs,https://www.voize.de/,6
7,Forget.Finance,Your digital financial coach,"Forget Finance empowers everyone to worry less about finance and create a more joyful life. With that purpose, we are building a personal financial coach that holistically simplifies and automates your finances. The goal is to guide and manage the financial life of 10 million millennials by 2030.",marketplace,seed,b2c,19,berlin,https://media.licdn.com/dms/image/C4E0BAQFEdY9en0vpHw/company-logo_200_200/0/1654721116885?e=1695859200&v=beta&t=PqO9dFMh0eggW0LBpJnj5msfYVkbdCJeUWB_Y0sdK4w,https://www.forget.finance/,7
8,HonestDog,A home for life for pets,"With HonestDog, we use technology to make it easy to find and take care of your pet. We appreciate the incredible joy that pets bring into our lives, which is why we are dedicated to protecting the future and welfare of pets by supporting ethical, responsible breeders, and other pet care providers helping them integrate their services seamlessly into the pet's life.",marketplace,preSeed,b2c,5,berlin,https://media.licdn.com/dms/image/C560BAQF0_PawjV9HfQ/company-logo_200_200/0/1655144574907?e=1695859200&v=beta&t=X1HxvhTETke7FRK7la5KDj97P0Qtmhguk-zEOJpVP6M,https://www.honestdog.de/,8
9,Narratic,Hyper-personalization on autopilot,"Narratic Labs empowers your D2C business with the power of AI. Built on transformative technologies like ChatGPT, our software takes raw customer, product, and shop data, and refines it into impactful, highly personalized marketing strategies.",deepTech,bootstrapped,b2b,4,berlin,https://media.licdn.com/dms/image/D4E0BAQGOwWxw2dd-DA/company-logo_200_200/0/1686846059670?e=1695859200&v=beta&t=EZZCjcQ5rYHUJoZQA0YetDtRuwIZ_999_dYiNC-UH9o,https://narratic.ai/,9
10,Taktile,Every decision data-driven,"Taktile exists to create value for organizations through smarter and safer decisions at scale. Our goal is to become the world's leading software provider for automated decision-making in the financial services industry and, to date, our software has been used by our customers to power over 255’000 critical business decisions every day.",deepTech,seriesA,b2b,92,new york,https://media.licdn.com/dms/image/D4E0BAQEvyrVb2GT99g/company-logo_200_200/0/1664966639940?e=1695859200&v=beta&t=DfsDEzf2iHVs9JDNB5p8XOwI-Hcghu78X9BN1Lt5Ymk,https://www.taktile.com/,10
11,climatiq,Embedded carbon intelligence for smart sustainability,Climatiq is building a tech platform that empowers organisations to take action in tackling the climate crisis. Their powerful carbon calculation engine helps businesses embed emission metrics into any software they already use to accurately calculate and continuously monitor their carbon footprint and drive better decisions.,sustainability,seed,b2b,21,berlin,https://media.licdn.com/dms/image/C4E0BAQGeLqWiwtsNDg/company-logo_200_200/0/1641996590703?e=1695859200&v=beta&t=XyMDBXPu_1e4DLTqJa-DgubQv8WjMERYV-iUgSw3hDw,https://www.climatiq.io/,11
12,Enter,Better decision making for an energy efficient home,"Enter helps millions of people to decarbonise their homes by providing the easiest end-to-end solution of one-stop energy audits, procurement, financing, and energy monitoring. With Enter our clients have all the data of their home in one app.",sustainability,seriesA,b2c,69,berlin,https://media.licdn.com/dms/image/D4E0BAQGPz6vbJgxaUw/company-logo_200_200/0/1681815133757?e=1695859200&v=beta&t=_7ECtaavhec91j4BU2LlbePTijKo9TJpVVMMc1xjzo0,https://www.enter.de/,12
13,PowerUS,Career platform for skilled blue-collar workers,"PowerUs is building the digital home for skilled blue-collar workers to maximise their careers by finding the best jobs, discover new companies & industries, get further education and  attractive employers find these workers to fullfill their projects and grow on the other side.",marketplace,seed,b2c,23,berlin,https://media.licdn.com/dms/image/D4E0BAQGPO3ri-hwRig/company-logo_200_200/0/1687433756211?e=1695859200&v=beta&t=MqT0SmJvkwHhOPPkadjOlU6Z2cBQ35lD6PWoZKm7Acg,https://powerus.de/,13
14,EdgelessSystems,The platform for next-gen secure cloud computing,"Edgeless Systems is a cybersecurity startup based in Germany. Our technology elevates the security of applications and workflows to unprecedented levels, enabling new and exciting forms of trustworthy data processing. Confidential computing is a groundbreaking security paradigm that enables the always encrypted and verifiable processing of sensitive data at scale. With Edgeless Systems, your data and code are always protected—whether at rest or in use, in the cloud or on-premises.",deepTech,seed,b2b,17,berlin,https://media.licdn.com/dms/image/C4D0BAQE3tMwIxr1Xxg/company-logo_200_200/0/1592388325334?e=1695859200&v=beta&t=hIoHLdqr9m0oz-zW2ENSACVAd4sIlKLT53yn3fC_Rrw,https://www.edgeless.systems/,14
15,Bounti,Training and knowledge for hospitality teams,"Bounti is a mobile-first knowledge management and development platform helping companies deliver engaging training experiences to their frontline teams. Bounti makes learning and development gamified, accessible, and impactful.",education,preSeed,b2b,5,berlin,https://media.licdn.com/dms/image/C4E0BAQH3INOprXhxSA/company-logo_200_200/0/1673621807573?e=1696464000&v=beta&t=4HsOQG_Bcn6Uq-50macrLNvrof_jYzjj-5NdV6jPICE,https://de.bounti.co/,15
16,Spoke,"Aggregate, prioritize, and summarize across tools to create the context for work",Spoke.ai cuts through workplace noise with powerful AI that prioritizes and summarizes across your tools 🦾,productivity,preSeed,b2b,16,berlin,https://media.licdn.com/dms/image/C4E0BAQFRCqex9oFZog/company-logo_200_200/0/1676914840055?e=1696464000&v=beta&t=hmiakXAhI6RRQ8C02dLN8q8eztcECXooK0D0sNZO5vY,https://www.spoke.ai/,16
17,Skyflow,The leading B2B drone logistics network,"At Skyflow, we believe in changing the world one delivery at a time. We make point-to-point deliveries faster and with significantly less energy consumption than electric cars.",deepTech,preSeed,b2b,2,berlin,https://media.licdn.com/dms/image/C4E0BAQFJfTo0tymnpA/company-logo_200_200/0/1678359691188?e=1696464000&v=beta&t=BSMioj_FVQPNvD-Zgks9vhlHlfEvGsrA4sYF_Dk6Qfo,https://www.skyflow.network/,17
18,Secfix,Secure and compliant in weeks instead of months,"We are on a mission to automate security and compliance for small and medium-sized businesses. We help SMEs to build their own ISMS and automate security standards such as ISO 27001, TISAX, , GDPR, SOC2, DiGA.",finance,seed,b2b,15,berlin,https://media.licdn.com/dms/image/C4D0BAQEPiqHCOPlB1Q/company-logo_200_200/0/1631228996308?e=1696464000&v=beta&t=uRNJB9snMDvRiT8N5UHyiFk6sQZPuGYYyQd_rVUfK0s,https://www.secfix.com/,20
19,Lanch,Lanch is an operating system for creators to launch virtual ready-to-eat food brands,"At Lanch, we empower small gastronomy owners by giving them the tools needed to make food delivery fun again. We are building the world’s biggest virtual food court by creating high-quality delivery brands together with the megastars of our generation. Lanch is food delivery built for 2032. ",creatorEconomy,preSeed,b2b,45,berlin,https://media.licdn.com/dms/image/D4E0BAQFT7NYrXF8nUA/company-logo_200_200/0/1684965406243?e=1696464000&v=beta&t=P0yAQRAFlpETaYq6-xWephBJB5uH6rc5XztW5sJrL4I,https://lanch.com/,21
20,Bldrs,Investing in talent building a better world,"The best early stage operators are entrepreneurs at heart. We are a talent platform connecting them with breakout jobs, potential cofounders and early investors depending on where they stand in their founder journey. Join us on our mission to democratize entrepreneurship by bringing the best of YC, Reforge and AngelList to Europe",newWork,bootstrapped,b2b2c,12,berlin,https://media.licdn.com/dms/image/D4E0BAQGWuhGsJQItTg/company-logo_200_200/0/1686843020041?e=1696464000&v=beta&t=_ksvAxqZq1H3Evl6p0GAn6MTtiF42g5OKQ6_8C3w4dk,https://www.joinbldrs.com/,"22,23,24"
21,Appinio,Real-time market research for when you need answers. Fast.,"At Appinio, we help companies always make the right decisions through real-time market research. As the world’s largest opinion network, every day we collect millions of responses from consumers to allow our clients to move from questions to insights in minutes. Over 2000 companies worldwide rely on us to understand how their consumers think.",productivity,seed,b2b,180,hamburg,https://media.licdn.com/dms/image/C4D0BAQH4VlHMvyxBrQ/company-logo_200_200/0/1612797110400?e=1696464000&v=beta&t=Esp_VaUc5ApulpF-7CZHU2NzGBgsLY6AsG-TyqT9evc,https://www.appinio.com/en/,19
22,Klar,The Single Source of Truth for eCommerce,"Meet Klar - The Single Source of Truth for your eCommerce brand.With Klar, you can stop running your businesses on spreadsheets and, in turn, frustrating your team. Klar centralizes all your data in one place and allows you to customize it to your reality. Save time and get clarity on how to profitably grow, with Klar.",productivity,seed,b2b,21,munich,https://media.licdn.com/dms/image/C4D0BAQFhpWUCgf03PQ/company-logo_200_200/0/1648471955717?e=1696464000&v=beta&t=Rd8pmMFQ7Bwz4fr10zxG04fMWMzNdmTnm2pM_UjS3P0,https://www.getklar.com/,18
